SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,4849 Marguerita Ln,La Mesa,CA,91941,699000,4,3.0,Mount Helix,2266,13202,1940,87,308,,Active,,,http://www.redfin.com/CA/La-Mesa/4849-Marguerita-Ln-91941/home/5628035,SDMLS,180055917,N,Y,32.7671675,-116.9973372
MLS Listing,,Single Family Residential,12815 Iola Way,Poway,CA,92064,699000,4,2.5,Poway,1631,,1969,87,429,,Active,,,http://www.redfin.com/CA/Poway/12815-Iola-Way-92064/home/4773539,SDMLS,180056041,N,Y,32.9504204,-117.0741447
MLS Listing,,Single Family Residential,12272 Winter Gardens Dr,Lakeside,CA,92040,699000,4,3.0,Lakeside,2606,15488,2007,31,268,,Active,,,http://www.redfin.com/CA/Lakeside/12272-Winter-Gardens-Dr-92040/home/12137527,SDMLS,180065599,N,Y,32.8323157,-116.9280922
MLS Listing,,Single Family Residential,9449 Showplace Dr,La Mesa,CA,91941,699000,5,2.0,La Mesa,2032,21100,1973,46,344,,Active,,,http://www.redfin.com/CA/La-Mesa/9449-Showplace-Dr-91941/home/5642373,SDMLS,180063664,N,Y,32.7521747,-116.9939111
MLS Listing,,Single Family Residential,5416 Brunswick Ave,San Diego,CA,92120,699000,3,2.0,San Diego,1662,6500,1956,45,421,,Active,,,http://www.redfin.com/CA/San-Diego/5416-Brunswick-Ave-92120/home/6238851,SDMLS,180063743,N,Y,32.7988079,-117.0751101
MLS Listing,,Single Family Residential,1804 Mission Cliff Dr,San Diego,CA,92116,699000,2,1.0,San Diego,1039,,1947,28,673,,Active,,,http://www.redfin.com/CA/San-Diego/1804-Mission-Cliff-Dr-92116/home/5254558,SDMLS,180065988,N,Y,32.7632498,-117.1462596
MLS Listing,,Single Family Residential,686 Mundy Ter,El Cajon,CA,92020,695000,4,2.5,ELC - El Cajon,2111,9800,1976,10,329,98,Active,,,http://www.redfin.com/CA/El-Cajon/686-Mundy-Ter-92020/home/5593676,CRMLS,SW18295136,N,Y,32.8039802,-116.9836095
MLS Listing,,Single Family Residential,8909 Bowling Green Dr,La Mesa,CA,91941,695000,6,3.5,La Mesa,2790,29620,1930,171,249,,Active,,,http://www.redfin.com/CA/La-Mesa/8909-Bowling-Green-Dr-91941/home/5641300,SDMLS,180038707,N,Y,32.7572206,-117.0052698
MLS Listing,,Single Family Residential,3574 Sandrock Rd,San Diego,CA,92123,690000,4,2.0,Serra Mesa,1469,7300,1959,47,470,,Active,,,http://www.redfin.com/CA/San-Diego/3574-Sandrock-Rd-92123/home/5170379,SDMLS,180063346,N,Y,32.8076055,-117.1404692
MLS Listing,,Single Family Residential,4775 54th St,San Diego,CA,92115,690000,6,3.0,San Diego,2242,7600,1962,209,308,,Active,,,http://www.redfin.com/CA/San-Diego/4775-54th-St-92115/home/5470057,SDMLS,180030245,N,Y,32.7642321,-117.0791554
MLS Listing,,Single Family Residential,7682 Northrup Pl,San Diego,CA,92126,690000,3,2.5,Mira Mesa,1851,,1984,102,373,,Active,,,http://www.redfin.com/CA/San-Diego/7682-Northrup-Pl-92126/home/4858007,SDMLS,180053016,N,Y,32.9021351,-117.1578397
MLS Listing,,Single Family Residential,5442 Limerick Ct,San Diego,CA,92117,690000,3,2.0,Clairemont,1354,6800,1963,19,510,,Active,,,http://www.redfin.com/CA/San-Diego/5442-Limerick-Ct-92117/home/4930725,SDMLS,180067154,N,Y,32.8421824,-117.180194
MLS Listing,,Single Family Residential,4604 Cajon Way,San Diego,CA,92115,689000,3,2.0,San Diego,1488,12000,1940,28,463,,Active,,,http://www.redfin.com/CA/San-Diego/4604-Cajon-Way-92115/home/5466804,SDMLS,180065880,N,Y,32.7607621,-117.0772247
MLS Listing,,Single Family Residential,2204 Dryden Rd,El Cajon,CA,92020,689000,4,3.0,El Cajon,2349,13600,1947,89,293,,Active,,,http://www.redfin.com/CA/El-Cajon/2204-Dryden-Rd-92020/home/5582305,SDMLS,180055429,N,Y,32.7988963,-116.9939111
MLS Listing,,Single Family Residential,5088 67th,San Diego,CA,92115,689000,4,2.0,San Diego,1327,10200,1927,32,519,,Active,,,http://www.redfin.com/CA/San-Diego/5088-67th-St-92115/home/5481295,SDMLS,180065338,N,Y,32.7725317,-117.0538248
MLS Listing,,Single Family Residential,5823 Adobe Falls Rd,San Diego,CA,92120,688000,3,2.0,Del Cerro,1377,8200,1964,52,500,,Active,,,http://www.redfin.com/CA/San-Diego/5823-Adobe-Falls-Rd-92120/home/5437585,SDMLS,180062467,N,Y,32.7822827,-117.073685
MLS Listing,,Single Family Residential,5659 Meredith Ave,San Diego,CA,92120,685000,3,2.0,Del Cerro,1734,9000,1957,52,395,,Active,,,http://www.redfin.com/CA/San-Diego/5659-Meredith-Ave-92120/home/5441083,SDMLS,180062721,N,Y,32.7801363,-117.0576407
MLS Listing,,Single Family Residential,12503 Buckskin Trl,Poway,CA,92064,685000,3,2.0,Poway,1104,,1961,2,620,,Active,,,http://www.redfin.com/CA/Poway/12503-Buckskin-Trl-92064/home/4786336,SDMLS,180068694,N,Y,32.9465559,-117.0594337
MLS Listing,,Single Family Residential,7984 Hillandale Dr,San Diego,CA,92120,685000,3,2.0,Del Cerro,1431,6600,1974,25,479,,Active,,,http://www.redfin.com/CA/San-Diego/7984-Hillandale-Dr-92120/home/5413134,SDMLS,180066475,N,Y,32.8139259,-117.063985
MLS Listing,,Single Family Residential,10433 La Morada Dr,San Diego,CA,92124,685000,4,2.0,Tierrasanta,1525,7600,1973,61,449,,Active,,,http://www.redfin.com/CA/San-Diego/10433-La-Morada-Dr-92124/home/4985540,SDMLS,180060837,N,Y,32.8387972,-117.1024145
MLS Listing,,Single Family Residential,5685 Regis Ave,San Diego,CA,92120,685000,3,2.0,Del Cerro,1786,6900,1957,177,384,,Active,,,http://www.redfin.com/CA/San-Diego/5685-Regis-Ave-92120/home/5441169,SDMLS,180037254,N,Y,32.7801672,-117.0546983
MLS Listing,,Single Family Residential,10143 CARRETA Dr,Santee,CA,92071,682500,5,4.0,Santee,2788,6900,1985,38,245,,Active,,,http://www.redfin.com/CA/Santee/10143-Carreta-Dr-92071/home/5026787,SDMLS,180064510,N,Y,32.8613878,-116.9682483
MLS Listing,,Single Family Residential,6396 Lake Decatur Ave,San Diego,CA,92119,680000,4,2.0,San Carlos,1356,,1961,270,501,,Active,,,http://www.redfin.com/CA/San-Diego/6396-Lake-Decatur-Ave-92119/home/6253049,SDMLS,180017599,N,Y,32.7976034,-117.0263071
MLS Listing,,Single Family Residential,5171 Providence Rd,San Diego,CA,92117,680000,4,2.5,Clairemont,1720,7200,1959,160,395,,Active,,,http://www.redfin.com/CA/San-Diego/5171-Providence-Rd-92117/home/4930386,SDMLS,180040551,N,Y,32.8395261,-117.1994677
MLS Listing,,Single Family Residential,6767 Alamo Ct,La Mesa,CA,91942,679900,4,3.0,La Mesa,1859,8896,1992,79,366,100,Active,,,http://www.redfin.com/CA/La-Mesa/6767-Alamo-Ct-91942/home/5480466,SDMLS,180057593,N,Y,32.75881,-117.0524773
